iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
103,0.1293216973543167,0.13000340009479802,0.12863999461383538,0.15045970082283017,0.15124134165274197,0.14967805999291836,0.21761527160803473,0.2179060937950172,0.21732444942105225,0.3295128017663956,0.3302039569834821,0.32882164654930907
104,0.12656812593340871,0.12729012678509322,0.1258461250817242,0.14807361662387847,0.14869333998778905,0.14745389325996788,0.21669080356756842,0.2171347016979038,0.21624690543723304,0.3282176822423935,0.32898669202278036,0.32744867246200665
105,0.12440295889973638,0.12515353667560744,0.12365238112386531,0.14632668942213056,0.14702895651992268,0.14562442232433845,0.21440544724464414,0.21473022557788035,0.21408066891140792,0.3281190901994705,0.3289601264693971,0.3272780539295439
106,0.12256540730595585,0.12317049994415026,0.12196031466776143,0.14475080519914624,0.14538469152408215,0.14411691887421033,0.2137095828851064,0.21510749956723724,0.2123116662029756,0.3265713393688202,0.3274089163652075,0.3257337623724329
107,0.12045277208089822,0.12124600229379992,0.11965954186799652,0.1428364738821983,0.14350858960935217,0.14216435815504444,0.21157993376255033,0.21331144549488026,0.2098484220302204,0.32512904703617096,0.32621671676625347,0.32404137730608845
108,0.1182607494294643,0.11903429473386788,0.11748720412506071,0.14118071645498273,0.1416825702207898,0.14067886268917565,0.2091793864965438,0.2110531217525505,0.2073056512405371,0.3252743870019913,0.326305539151882,0.3242432348521006
109,0.11626323536038394,0.1169684547523118,0.11555801596845608,0.13985741436481475,0.14037588962393635,0.13933893910569314,0.20850574970245353,0.21080381119022062,0.20620768821468644,0.32489579916000366,0.32565982424053896,0.32413177407946836
110,0.11443311870098109,0.11510211450614681,0.11376412289581538,0.13847075998783112,0.13918162460859027,0.13775989536707198,0.20883667965730032,0.21143045633664317,0.20624290297795747,0.32449029982089994,0.32527993584940096,0.3237006637923989
111,0.1120870985090732,0.11277081621798263,0.11140338080016376,0.13620521426200866,0.1369084800714903,0.135501948452527,0.20874439179897306,0.21053287200528048,0.20695591159266563,0.324446427822113,0.3254401994257164,0.32345265621850966
112,0.1104491777718067,0.1109814796552339,0.10991687588837949,0.1348619759082794,0.13562128913460808,0.1341026626819507,0.2078427424033482,0.2093960212562607,0.20628946355043573,0.3228173106908798,0.3242161284341963,0.32141849294756336
113,0.10888993442058559,0.10947830504500203,0.10830156379616915,0.13370165079832072,0.13440644516136227,0.13299685643527917,0.20681402583916983,0.20808802646933713,0.20554002520900252,0.3232351362705231,0.3244277764709253,0.32204249607012086
114,0.10744250565767284,0.10808757561664882,0.10679743569869686,0.13240544348955155,0.13312654708930635,0.13168433988979675,0.20541858176390326,0.20683770233563495,0.20399946119217158,0.3237899452447891,0.3250390144074847,0.3225408760820935
115,0.10588369369506831,0.1065830106568364,0.10518437673330022,0.13121325224637984,0.13198225932598387,0.1304442451667758,0.20451532304286954,0.20630304330959565,0.20272760277614343,0.3230115294456482,0.3243680384494582,0.3216550204418382
116,0.10447039678692813,0.1050289318798863,0.10391186169396996,0.13041959404945372,0.13108083807341203,0.1297583500254954,0.20305829246838883,0.2052583434526284,0.20085824148414927,0.32091744542121886,0.3221354974640537,0.31969939337838404
117,0.10377669334411618,0.10435217028090531,0.10320121640732706,0.12983964830636976,0.13047742611736,0.12920187049537954,0.20234490931034085,0.20425763758595228,0.20043218103472943,0.3212906002998352,0.322609892528705,0.3199713080709654
