iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
190,0.27779767,0.34460005164146423,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
191,0.21933949,0.34735000133514404,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
192,0.21217942,0.34314998984336853,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
193,0.18781929,0.3423500061035156,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
194,0.26005477,0.3439500331878662,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
195,0.18724915,0.347150057554245,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
196,0.23302849,0.3409000337123871,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
197,0.19231674,0.34950000047683716,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
198,0.17105797,0.3505999743938446,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
199,0.19104888,0.34905004501342773,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
200,0.17703222,0.351500004529953,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
201,0.1611892,0.34870001673698425,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
202,0.16515085,0.3562500774860382,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
203,0.19081776,0.3477500081062317,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
204,0.27739367,0.3463500142097473,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
205,0.19357088,0.3493499755859375,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
206,0.18489525,0.3536500632762909,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
207,0.14555447,0.3526000678539276,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
208,0.17898741,0.34765002131462097,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
209,0.24669322,0.3466000258922577,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
210,0.31649214,0.3490000069141388,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
211,0.17329006,0.3504500687122345,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
212,0.2241904,0.34835001826286316,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
